id_salarié,Sexe,Date_naissance,Etat Civil,Enfants
16951117-9468,F,1955-08-01,Not specified,3
16671208-2624,F,1966-11-27,Not specified,0
16870824-4853,H,1987-07-01,Célibataire,3
16240920-3425,F,1964-05-15,Célibataire,3
16780226-1060,H,1962-02-08,Marié,3
16230523-1322,F,1980-11-04,Not specified,0
16290104-5498,H,1969-02-02,Marié,2
16020725-8401,F,1979-04-26,Marié,0
16100329-5753,F,1981-07-20,Not specified,1
16950828-2259,H,1985-08-09,Célibataire,2
16420516-7234,H,1981-02-15,Marié,2
16670406-9274,H,1962-09-30,Marié,3
16750821-7945,H,1965-01-22,Marié,1
16410407-6098,F,1960-02-03,Marié,1
16761028-0344,H,1963-11-12,Not specified,3
16300713-6405,F,1972-04-04,Not specified,3
16241218-7045,H,1959-07-15,Not specified,2
16640209-4004,H,1963-05-31,Not specified,2
16220428-5924,H,1968-01-15,Not specified,0
16890313-1335,F,1958-10-22,Marié,2
16241106-8329,F,1974-08-11,Célibataire,1
16050407-7405,F,1956-03-21,Marié,1
16290714-4014,F,1980-05-14,Célibataire,1
16711027-7246,H,1983-10-17,Célibataire,2
16231022-5566,H,1975-03-10,Célibataire,2
16030220-7121,F,1973-01-22,Célibataire,0
16560517-2740,H,1982-07-07,Not specified,0
16761104-5282,H,1966-12-09,Not specified,0
16160206-9161,H,1955-01-16,Célibataire,3
16840316-2442,F,1957-08-10,Not specified,1
16170926-3188,H,1977-04-24,Not specified,0
16510216-5973,H,1973-09-24,Marié,3
16940521-7028,F,1955-04-07,Not specified,2
16900610-6265,H,1958-07-19,Célibataire,3
16400120-2136,H,1978-03-24,Not specified,1
16810725-6144,H,1965-07-14,Marié,1
16300407-2348,F,1969-08-28,Not specified,3
16620809-2681,H,1986-01-27,Not specified,0
16281009-4371,H,1956-07-17,Not specified,2
16350925-6446,H,1976-09-11,Célibataire,2
16681012-6406,F,1968-03-31,Not specified,2
16660922-3489,F,1962-07-12,Marié,1
16891227-4985,F,1987-04-23,Célibataire,0
16100419-9707,F,1980-12-23,Célibataire,3
16610522-9428,F,1978-06-26,Not specified,3
16360616-0509,F,1984-08-10,Not specified,2
16141213-3603,F,1971-05-20,Marié,2
16270818-3112,F,1963-10-25,Marié,0
16640904-2246,H,1984-10-29,Célibataire,3
16770921-1705,F,1982-02-02,Marié,1
16260415-5834,H,1966-09-07,Not specified,0
16640301-8754,F,1960-08-22,Célibataire,2
16770513-2772,F,1975-12-05,Marié,3
16330117-4748,F,1958-07-26,Not specified,1
16831218-0485,F,1978-10-18,Célibataire,0
16360827-6352,F,1989-05-06,Not specified,1
16181212-5860,H,1963-03-04,Not specified,0
16960906-7989,H,1983-03-04,Not specified,0
16920219-1855,F,1970-08-15,Célibataire,3
16891006-1830,H,1986-05-08,Célibataire,2
16140409-8707,F,1985-09-19,Célibataire,3
16440228-5151,H,1966-01-22,Marié,3
16810230-7785,F,1983-05-28,Célibataire,3
16740208-0084,F,1964-01-26,Célibataire,1
16301213-1524,H,1979-03-27,Marié,2
16540728-0337,F,1959-12-26,Not specified,1
16790704-0179,F,1971-12-31,Marié,3
16810820-7468,F,1971-08-30,Marié,3
16810711-6330,H,1980-11-25,Not specified,0
16891203-4397,F,1967-10-08,Célibataire,0
16441109-5385,H,1966-11-28,Célibataire,1
16091122-3147,F,1984-03-03,Not specified,3
16690714-7836,F,1971-03-25,Not specified,1
16081104-1011,F,1985-07-22,Marié,3
16670913-0147,F,1990-05-20,Célibataire,1
16730918-6273,F,1967-01-03,Marié,1
16770802-4604,F,1956-03-17,Marié,2
16451016-1336,H,1977-07-06,Marié,2
