id_salarié,Sexe,Date_naissance,Etat Civil,Enfants
16460901-9957,F,8/5/1968,Marié,0
16080411-7877,H,3/13/1962,Célibataire,3
16460901-5575,H,9/14/1956,NA,2
16111023-3358,H,7/27/1957,Marié,3
16920917-6040,H,3/23/1970,Célibataire,1
16470418-3807,H,7/25/1970,Célibataire,0
16981206-3817,F,1/19/1970,NA,1
16710125-5136,F,7/27/1981,NA,1
16640715-7632,H,11/22/1962,Marié,3
16000206-8278,F,12/7/1958,NA,2
16460313-0032,F,2/10/1955,Marié,0
16181114-4680,F,10/16/1974,NA,0
16600521-9024,H,9/9/1969,Marié,1
16580220-7323,H,4/5/1989,Marié,0
16910810-9712,H,2/18/1969,NA,1
16661124-0695,F,11/16/1976,Célibataire,0
16020327-1465,F,8/19/1973,Célibataire,3
16610809-8713,F,2/10/1982,Marié,1
16411102-7886,H,3/18/1985,Marié,1
16011205-0331,F,4/23/1957,Célibataire,2
16560624-9059,F,9/23/1963,NA,0
16500419-9062,F,10/8/1983,NA,1
16620412-8323,F,11/16/1979,Célibataire,2
16720410-2094,F,4/10/1971,Célibataire,3
16990414-3527,H,7/1/1955,Célibataire,0
16370717-6461,F,12/14/1977,Marié,2
16740413-0572,H,6/30/1987,Marié,0
16360908-7378,F,2/28/1984,Célibataire,3
16560416-4227,F,9/21/1975,Marié,0
16960628-0338,H,11/7/1968,NA,0
16760117-3029,F,1/26/1958,NA,1
16090206-9129,F,9/2/1961,Célibataire,1
16100606-3398,H,6/12/1980,Marié,0
16890714-6248,H,10/12/1966,Marié,0
16020701-3376,F,10/9/1981,Célibataire,1
16461115-9486,H,10/12/1977,Marié,1
16611004-8219,F,4/11/1978,Célibataire,2
16550903-3725,H,3/27/1985,NA,3
16610722-2223,H,5/3/1971,Célibataire,2
16090824-7661,H,2/6/1987,Célibataire,2
16340806-9395,F,1/4/1965,Marié,0
16450910-7050,F,3/7/1968,Célibataire,3
16660325-6006,F,11/15/1958,NA,1
16731208-8904,H,5/23/1987,Célibataire,0
16420625-3827,H,2/8/1974,Marié,0
16310403-3810,F,9/7/1966,Célibataire,0
16820822-2953,F,1/30/1991,NA,2
16581203-8213,H,6/19/1967,Marié,2
16700908-2889,H,1/6/1979,Marié,2
16891013-6921,H,7/16/1955,NA,3
16810204-2564,F,2/26/1971,NA,1
16081120-1045,F,10/17/1964,Célibataire,3
16430903-4405,F,3/8/1963,Marié,3
16421204-6850,H,2/19/1957,NA,3
16021124-8356,F,10/6/1966,NA,1
16910826-9763,F,12/9/1971,Célibataire,1
16720627-1632,H,2/13/1984,Marié,1
16431030-6354,H,6/13/1980,Marié,3
16951117-9468,F,8/1/1955,NA,3
16671208-2624,F,11/27/1966,NA,0
16870824-4853,H,7/1/1987,Célibataire,3
16240920-3425,F,5/15/1964,Célibataire,3
16780226-1060,H,2/8/1962,Marié,3
16230523-1322,F,11/4/1980,NA,0
16290104-5498,H,2/2/1969,Marié,2
16020725-8401,F,4/26/1979,Marié,0
16100329-5753,F,7/20/1981,NA,1
16950828-2259,H,8/9/1985,Célibataire,2
16420516-7234,H,2/15/1981,Marié,2
16670406-9274,H,9/30/1962,Marié,3
16750821-7945,H,1/22/1965,Marié,1
16410407-6098,F,2/3/1960,Marié,1
16761028-0344,H,11/12/1963,NA,3
16300713-6405,F,4/4/1972,NA,3
16241218-7045,H,7/15/1959,NA,2
16640209-4004,H,5/31/1963,NA,2
16220428-5924,H,1/15/1968,NA,0
16890313-1335,F,10/22/1958,Marié,2
16241106-8329,F,8/11/1974,Célibataire,1
16050407-7405,F,3/21/1956,Marié,1
16290714-4014,F,5/14/1980,Célibataire,1
16711027-7246,H,10/17/1983,Célibataire,2
16231022-5566,H,3/10/1975,Célibataire,2
16030220-7121,F,1/22/1973,Célibataire,0
16560517-2740,H,7/7/1982,NA,0
16761104-5282,H,12/9/1966,NA,0
16160206-9161,H,1/16/1955,Célibataire,3
16840316-2442,F,8/10/1957,NA,1
16170926-3188,H,4/24/1977,NA,0
16510216-5973,H,9/24/1973,Marié,3
16940521-7028,F,4/7/1955,NA,2
16900610-6265,H,7/19/1958,Célibataire,3
16400120-2136,H,3/24/1978,NA,1
16810725-6144,H,7/14/1965,Marié,1
16300407-2348,F,8/28/1969,NA,3
16620809-2681,H,1/27/1986,NA,0
16281009-4371,H,7/17/1956,NA,2
16350925-6446,H,9/11/1976,Célibataire,2
16681012-6406,F,3/31/1968,NA,2
16660922-3489,F,7/12/1962,Marié,1
16891227-4985,F,4/23/1987,Célibataire,0
16100419-9707,F,12/23/1980,Célibataire,3
16610522-9428,F,6/26/1978,NA,3
16360616-0509,F,8/10/1984,NA,2
16141213-3603,F,5/20/1971,Marié,2
16270818-3112,F,10/25/1963,Marié,0
16640904-2246,H,10/29/1984,Célibataire,3
16770921-1705,F,2/2/1982,Marié,1
16260415-5834,H,9/7/1966,NA,0
16640301-8754,F,8/22/1960,Célibataire,2
16770513-2772,F,12/5/1975,Marié,3
16330117-4748,F,7/26/1958,NA,1
16831218-0485,F,10/18/1978,Célibataire,0
16360827-6352,F,5/6/1989,NA,1
16181212-5860,H,3/4/1963,NA,0
16960906-7989,H,3/4/1983,NA,0
16920219-1855,F,8/15/1970,Célibataire,3
16891006-1830,H,5/8/1986,Célibataire,2
16140409-8707,F,9/19/1985,Célibataire,3
16440228-5151,H,1/22/1966,Marié,3
16810230-7785,F,5/28/1983,Célibataire,3
16740208-0084,F,1/26/1964,Célibataire,1
16301213-1524,H,3/27/1979,Marié,2
16540728-0337,F,12/26/1959,NA,1
16790704-0179,F,12/31/1971,Marié,3
16810820-7468,F,8/30/1971,Marié,3
16810711-6330,H,11/25/1980,NA,0
16891203-4397,F,10/8/1967,Célibataire,0
16441109-5385,H,11/28/1966,Célibataire,1
16091122-3147,F,3/3/1984,NA,3
16690714-7836,F,3/25/1971,NA,1
16081104-1011,F,7/22/1985,Marié,3
16670913-0147,F,5/20/1990,Célibataire,1
16730918-6273,F,1/3/1967,Marié,1
16770802-4604,F,3/17/1956,Marié,2
16451016-1336,H,7/6/1977,Marié,2
